P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category
C-JAN-19-069,Murtiya,Sarlahi,Central,0.031,0.009,0.346636259977195,0.835,0.6463245492371705,0.11680327868852458,0.1166,Medium-High
E-SAG-12-036,Pokali,Okhaldhunga,Eastern,0.005000000000000001,0.003,0.5758266818700113,0.5830000000000001,0.610263522884882,0.0430327868852459,0.04331,Low
C-NAR-32-095,SimaraBhawanipur,Rautahat,Central,0.023000000000000003,0.010000000000000002,0.3660205245153934,0.9140000000000001,0.7128987517337031,0.10860655737704919,0.10967,Medium-High
C-JAN-19-090,Sasapur,Sarlahi,Central,0.063,0.007000000000000001,0.346636259977195,0.835,0.6463245492371705,0.13114754098360656,0.13088,Medium-High
W-LUM-50-033,Hariharpur,Kapilbastu,Western,0.001,0.007000000000000001,0.6465222348916762,0.664,0.710124826629681,0.034836065573770496,0.03533,Low
C-BAG-23-077,ThuloSirubari,Sindhupalchok,Central,0.128,0.006,0.6476624857468642,0.657,0.7059639389736476,0.16598360655737707,0.16557,Medium-High
W-LUM-47-001,Archale,Palpa,Western,0.001,0.003,0.4732041049030787,0.266,0.32871012482662965,0.022540983606557378,0.02348,Lowest
C-JAN-19-079,Pidariya,Sarlahi,Central,0.020000000000000004,0.005000000000000001,0.346636259977195,0.835,0.6463245492371705,0.0819672131147541,0.08209,Medium-Low
C-JAN-19-057,Laukath,Sarlahi,Central,0.023000000000000003,0.007000000000000001,0.346636259977195,0.835,0.6463245492371705,0.09426229508196722,0.09492,Medium-Low
F-SET-69-030,Hichma,Achham,Far-Western,0.0,0.005000000000000001,0.830102622576967,0.9210000000000002,0.9999999999999999,0.0,0.0,Lowest
M-RAP-54-043,Taksera,Rukum,Mid-Western,0.0,0.004,0.6989737742303306,0.687,0.7586685159500692,0.012295081967213115,0.011880000000000002,Lowest
E-MEC-01-002,Ankhop,Taplejung,Eastern,0.0,0.002,0.33637400228050174,0.303,0.27184466019417475,0.0,0.0,Lowest
C-NAR-34-030,Govindapur,Parsa,Central,0.009,0.003,0.41961231470923605,0.6070000000000001,0.5325936199722607,0.05122950819672131,0.050800000000000005,Low
W-LUM-49-027,Gonaha,Rupandehi,Western,0.003,0.014000000000000002,0.7571265678449259,0.29500000000000004,0.521497919556172,0.05532786885245902,0.05469000000000001,Low
F-SET-70-050,Wagalek,Doti,Far-Western,0.0,0.004,0.8665906499429874,0.8260000000000001,0.9570041608876559,0.0,0.0,Lowest
F-SET-69-072,Tosi,Achham,Far-Western,0.0,0.002,0.830102622576967,0.9210000000000002,0.9999999999999999,0.0,0.0,Lowest
E-MEC-03-037,Pyang,Ilam,Eastern,0.0,0.003,0.1459521094640821,0.319,0.1664355062413314,0.0,0.0,Lowest
W-LUM-51-006,Bangi,Arghakhanchi,Western,0.0,0.005000000000000001,0.5644241733181301,0.332,0.4299583911234396,0.0,0.0,Lowest
C-JAN-19-061,Madhubani,Sarlahi,Central,0.011000000000000001,0.004,0.346636259977195,0.835,0.6463245492371705,0.06352459016393443,0.06336000000000001,Medium-Low
F-SET-68-013,Deulikot,Bajhang,Far-Western,0.0,0.008,0.8631698973774231,0.7050000000000001,0.869625520110957,0.0,0.0,Lowest
